Ano base,UF,Classe Substância,Substância Mineral,Unidade de Medida - Contido,Quantidade Produção - Minério ROM (t),Quantidade Contido,Indicação Contido,Quantidade Venda (t),Valor Venda (R$),Quantidade Transformação / Consumo / Utilização (t),Valor Transformação / Consumo / Utilização nesta mina (R$),Quantidade Transferência para Transformação / Utilização / Consumo (t),Valor Transferência para Transformação / Utilização / Consumo (R$)
2010.0,BA,Não-Metálicos,Calcário,-,"1586269,030000",",000000000000000",,9729,"159691,07999999999",",000000",",000000",",000000",",000000"
2010.0,BA,Não-Metálicos,Caulim,-,"72388,000000",",000000000000000",,35882,"346881,52000000002",",000000",",000000",",000000",",000000"
2010.0,BA,Não-Metálicos,Grafita,t,"424955,000000","35016,290000000000000",,0,0,",000000",",000000",",000000",",000000"
2010.0,BA,Não-Metálicos,"Feldspato, Leucita e Nefelina-Sienito",-,"2860,000000",",000000000000000",,2912,195424,",000000",",000000",",000000",",000000"
2010.0,BA,Não-Metálicos,Rochas (Britadas) e Cascalho,-,"5504399,600000",",000000000000000",,21219,"510182,42999999999",",000000",",000000",",000000",",000000"
2010.0,BA,Não-Metálicos,Sal,-,"667209,640000",",000000000000000",,0,0,",000000",",000000","667209,640000","21859132,450000"
2010.0,BA,Metálicos,Ouro,kg,"3274683,000000","6399,663310000000000",Au,0,0,",000000",",000000",",000000",",000000"
2010.0,BA,Não-Metálicos,Fosfato,t,"582336,350000","108909,410000000000000",P2O5,0,0,",000000",",000000",",000000",",000000"
2010.0,CE,Não-Metálicos,Calcário,-,"3232999,770000",",000000000000000",,"462651,87000000005","3552919,46","214432,990000","3183498,140000","390992,950000","4455846,500000"
2010.0,CE,Gemas e Diamantes,Gemas,kg,",000000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2010.0,CE,Metálicos,Manganês,t,"4000,000000","1040,000000000000000",Mn,0,0,",000000",",000000",",000000",",000000"
2010.0,CE,Não-Metálicos,Dolomito e Magnesita,-,"90256,030000",",000000000000000",,"87866,029999999999","1689148,03",",000000",",000000",",000000",",000000"
2010.0,CE,Metálicos,Ferro,t,"55331,960000","27873,300000000000000",Fe,"53836,599999999999","3088033,9700000002",",000000",",000000","1495,360000","37384,000000"
2010.0,CE,Não-Metálicos,Areias Industriais,-,"194508,520000",",000000000000000",,0,0,"150,000000","12000,000000","100,000000","12000,000000"
2010.0,CE,Não-Metálicos,Areia,-,"1376405,550000",",000000000000000",,"1185247,6100000001","7467448,7600000007",",000000",",000000","200049,060000","384536,840000"
2010.0,CE,Não-Metálicos,Saibro,-,"44760,700000",",000000000000000",,"35136,699999999997","88539,369999999995",",000000",",000000","9624,000000","15975,840000"
2010.0,CE,Não-Metálicos,Argilas,-,"1950747,500000",",000000000000000",,"178484,27000000002","2169519,6299999999","676209,480000","2410210,210000","1072458,950000","4926583,460000"
2010.0,CE,Energéticos,Urânio e outros Radioativos,t,",000000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2010.0,CE,Não-Metálicos,Rochas Ornamentais,-,"52989,210000",",000000000000000",,"53515,690000000002","17169668,440000001",",000000",",000000","3953,020000","491881,600000"
2010.0,CE,Não-Metálicos,Rochas Ornamentais - Outras,-,"82458,080000",",000000000000000",,"82380,979999999996","5353748,4199999999",",000000",",000000",",000000",",000000"
2010.0,CE,Não-Metálicos,Gipsita,-,"81532,390000",",000000000000000",,"81532,389999999999","2083199,3400000001",",000000",",000000",",000000",",000000"
2010.0,CE,Não-Metálicos,Mica,-,"965,700000",",000000000000000",,0,0,",000000",",000000","965,700000","308924,000000"
2010.0,CE,Não-Metálicos,Fosfato,t,",000000",",000000000000000",P2O5,0,0,",000000",",000000",",000000",",000000"
2010.0,CE,Não-Metálicos,Rochas (Britadas) e Cascalho,-,"3559542,500000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2010.0,DF,Não-Metálicos,Areias Industriais,-,",000000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2010.0,DF,Não-Metálicos,Rochas (Britadas) e Cascalho,-,"590274,140000",",000000000000000",,"17918,129999999997","168850,45000000001",",000000",",000000",",000000",",000000"
2010.0,DF,Não-Metálicos,Areia,-,"399865,000000",",000000000000000",,"381659,22999999998","7440792,4700000007",",000000",",000000",",000000",",000000"
2010.0,DF,Não-Metálicos,Argilas,-,"232516,260000",",000000000000000",,0,0,"109156,180000","583474,360000","123360,080000","1538342,030000"
2010.0,DF,Não-Metálicos,Calcário,-,"5415701,640000",",000000000000000",,0,0,",000000",",000000","357775,370000","15498844,240000"
2010.0,ES,Não-Metálicos,Areia,-,"1198993,130000",",000000000000000",,"1180236,6499999997","15386363,640000001","828,000000","34706,000000","5540,200000","97717,840000"
2010.0,ES,Não-Metálicos,Saibro,-,"76334,800000",",000000000000000",,"65982,800000000003","251446,87",",000000",",000000",",000000",",000000"
2010.0,ES,Não-Metálicos,Rochas Ornamentais,-,"1453267,280600",",000000000000000",,"1259089,9715999993","172430605,57760003",",000000",",000000","59031,330000","10286239,940000"
2010.0,ES,Metálicos,Alumínio (Bauxita),t,",000000",",000000000000000",Al2O3,0,0,",000000",",000000",",000000",",000000"
2010.0,ES,Não-Metálicos,Areias Industriais,-,",000000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
