Ano base,UF,Classe Substância,Substância Mineral,Unidade de Medida - Contido,Quantidade Produção - Minério ROM (t),Quantidade Contido,Indicação Contido,Quantidade Venda (t),Valor Venda (R$),Quantidade Transformação / Consumo / Utilização (t),Valor Transformação / Consumo / Utilização nesta mina (R$),Quantidade Transferência para Transformação / Utilização / Consumo (t),Valor Transferência para Transformação / Utilização / Consumo (R$)
2011.0,SP,Metálicos,Zircônio,t,",000000",",000000000000000",ZrSiO4,0,0,",000000",",000000",",000000",",000000"
2011.0,SP,Metálicos,Manganês,t,",000000",",000000000000000",Mn,0,0,",000000",",000000",",000000",",000000"
2011.0,SP,Não-Metálicos,Calcário,-,"13106346,934000",",000000000000000",,"39843,929999999993","166977,28","3058,230000","3058,230000",",000000",",000000"
2011.0,SP,Não-Metálicos,Argilas,-,"12711718,580000",",000000000000000",,"9097804,1500000022","79356559,310000017","303341,630000","5036856,260000","1875615,080000","10639856,670000"
2011.0,SP,Não-Metálicos,Areias Industriais,-,"4737786,480000",",000000000000000",,"49037,25","1257951,97",",000000",",000000",",000000",",000000"
2011.0,SP,Não-Metálicos,Saibro,-,"2391434,970000",",000000000000000",,"2390406,2599999998","19708549,02","112,000000","560,000000",",000000",",000000"
2011.0,SP,Não-Metálicos,Caulim,-,"167912,490000",",000000000000000",,"35788,800000000003","214229,89999999999",",000000",",000000",",000000",",000000"
2011.0,SP,Não-Metálicos,Calcário,t,"5360301,000000","4288240,800000000000000",,0,0,",000000",",000000",",000000",",000000"
2011.0,SP,Não-Metálicos,Dolomito e Magnesita,-,"331586,960000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2011.0,TO,Não-Metálicos,Minerais Industriais (Outros),-,"48000,000000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2011.0,TO,Não-Metálicos,Argilas,-,"80560,310000",",000000000000000",,28700,57400,",000000",",000000","42560,310000","669111,200000"
2011.0,TO,Não-Metálicos,Areias Industriais,-,",000000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2011.0,TO,Metálicos,Ouro,kg,"22592,850000","22,592850000000000",Au,"22592,849999999999","1622500,95",",000000",",000000",",000000",",000000"
2011.0,TO,Não-Metálicos,Saibro,-,"7636,000000",",000000000000000",,7636,79312,",000000",",000000",",000000",",000000"
2011.0,TO,Não-Metálicos,Areia,-,"248213,390000",",000000000000000",,"195552,48000000001","3541849,7100000009","260,000000","6500,000000",",000000",",000000"
2011.0,TO,Não-Metálicos,Calcário,-,"3234617,340000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2011.0,TO,Não-Metálicos,Rochas (Britadas) e Cascalho,-,"610737,910000",",000000000000000",,"66003,380000000005","1080188,48",",000000",",000000",",000000",",000000"
2011.0,TO,Metálicos,Ferro,t,"517000,000000","325000,000000000000000",Fe,0,0,",000000",",000000",",000000",",000000"
2011.0,TO,Não-Metálicos,Gipsita,-,"3838,000000",",000000000000000",,3838,32623,",000000",",000000",",000000",",000000"
2011.0,TO,Não-Metálicos,Fosfato,t,"87976,190000","12000,000000000000000",P2O5,0,0,",000000",",000000",",000000",",000000"
2011.0,TO,Não-Metálicos,Quartzo (Cristal) e outros Piezelétricos,-,",000000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2012.0,AC,Não-Metálicos,Areia,-,"185690,580000",",000000000000000",,"149956,60000000001","3462125,98",",000000",",000000",",000000",",000000"
2012.0,AL,Não-Metálicos,Areia,-,"492941,920000",",000000000000000",,"411854,70999999996","4829201,7000000002","20820,990000","28813,250000","27404,000000","27027,350000"
2012.0,AL,Não-Metálicos,Sal,-,"872571,000000",",000000000000000",,"2235,4899999999998","54188,290000000001",",000000",",000000","870335,510000","6554602,190000"
2012.0,AL,Não-Metálicos,Saibro,-,"413120,210000",",000000000000000",,"388237,52000000002","461695,63",",000000",",000000","23430,000000","8697,000000"
2012.0,AL,Não-Metálicos,Argilas,-,"289546,640000",",000000000000000",,"1890,7","6960,6300000000001","105891,160000","678259,900000","165541,300000","1407906,140000"
2012.0,AL,Não-Metálicos,Calcário,-,"1112548,180000",",000000000000000",,"15394,040000000001","938791,45999999996",",000000",",000000",",000000",",000000"
2012.0,AL,Não-Metálicos,Rochas (Britadas) e Cascalho,-,"1470092,060000",",000000000000000",,"5033,8000000000002","28951,189999999999","403,200000","1440,000000",",000000",",000000"
2012.0,AL,Metálicos,Cobre,t,",000000",",000000000000000",Cu,0,0,",000000",",000000",",000000",",000000"
2012.0,AM,Não-Metálicos,Areia,-,"153105,590000",",000000000000000",,"71840,559999999998","1058725,0800000001","5180,000000","51800,000000","76085,030000","119403,280000"
2012.0,AM,Metálicos,Estanho,kg,"6580544,000000","6844225,000000000000000",Sn,0,0,",000000",",000000",",000000",",000000"
2012.0,AM,Não-Metálicos,Potássio,t,",000000",",000000000000000",K2O,0,0,",000000",",000000",",000000",",000000"
2012.0,AM,Não-Metálicos,Calcário,-,"816535,320000",",000000000000000",,"621940,5","2719506,8199999998",",000000",",000000","194594,820000","947891,120000"
2012.0,AM,Metálicos,Ouro,kg,",000000",",000000000000000",Au,0,0,",000000",",000000",",000000",",000000"
2012.0,AM,Não-Metálicos,Gipsita,-,"64791,890000",",000000000000000",,"64791,889999999999","349847,81",",000000",",000000",",000000",",000000"
2012.0,AM,Não-Metálicos,Saibro,-,"6667,000000",",000000000000000",,6667,25252,",000000",",000000",",000000",",000000"
2012.0,AM,Metálicos,Tântalo,t,"6580544,000000","163,620000000000000",Ta2O5,0,0,",000000",",000000",",000000",",000000"
2012.0,AM,Metálicos,Nióbio,t,"6580544,000000","1636,200000000000000",Nb2O5,0,0,",000000",",000000",",000000",",000000"
2012.0,AM,Não-Metálicos,Argilas,-,"320586,730000",",000000000000000",,2000,15500,",010000",",010000","318586,630000","1896184,630000"
2012.0,AM,Não-Metálicos,Rochas (Britadas) e Cascalho,-,"227018,300000",",000000000000000",,"8916,7999999999993","297047,19",",000000",",000000",",000000",",000000"
2012.0,AM,Metálicos,Ferro,t,"29324,940000","20527,460000000000000",Fe,0,0,",000000",",000000","29324,940000","173829,450000"
2012.0,AP,Não-Metálicos,Saibro,-,"3600,000000",",000000000000000",,3600,12000,",000000",",000000",",000000",",000000"
2012.0,AP,Metálicos,Ferro,t,"14407123,640000","6259956,390000000000000",Fe,360424,1802137,",000000",",000000",",000000",",000000"
2012.0,AP,Metálicos,Cromo,t,"19010,000000","4182,500000000000000",Cr2O3,0,0,",000000",",000000",",000000",",000000"
2012.0,AP,Não-Metálicos,Rochas (Britadas) e Cascalho,-,"337059,510000",",000000000000000",,"56550,240000000005","1947036,6300000001",",000000",",000000",",000000",",000000"
2012.0,AP,Não-Metálicos,Areia,-,"434121,000000",",000000000000000",,"427896,21999999997","4515906,6500000004",",000000",",000000",",000000",",000000"
2012.0,AP,Metálicos,Tântalo,t,"18931,140000","31,615000000000000",Ta2O5,0,0,",000000",",000000",",000000",",000000"
2012.0,AP,Não-Metálicos,Caulim,-,"575596,000000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2012.0,AP,Não-Metálicos,Argilas,-,"76969,400000",",000000000000000",,2751,78695,"3518,400000","35184,000000","40000,000000","150000,000000"
2012.0,AP,Metálicos,Ouro,kg,"669143,360000","7520,552430000000000",Au,0,0,",000000",",000000",",000000",",000000"
2012.0,BA,Não-Metálicos,Areia,-,"1572819,240000",",000000000000000",,"1563829,9699999997","13704414,120000001",",000000",",000000","6451,210000","55596,820000"
2012.0,BA,Não-Metálicos,"Feldspato, Leucita e Nefelina-Sienito",-,"5690,420000",",000000000000000",,"5481,4200000000001","571926,95999999996",",000000",",000000",",000000",",000000"
2012.0,BA,Não-Metálicos,Dolomito e Magnesita,-,"1621791,900000",",000000000000000",,339,"91841,690000000002",",000000",",000000","6,000000","280,750000"
2012.0,BA,Não-Metálicos,Fosfato,t,"806012,110000","146418,790000000000000",P2O5,0,0,",000000",",000000",",000000",",000000"
2012.0,BA,Não-Metálicos,Rochas Ornamentais - Outras,-,"3123,580000",",000000000000000",,"679,5","258299,35000000001",",000000",",000000","2444,080000","1883755,460000"
2012.0,BA,Não-Metálicos,Sal,-,"530793,000000",",000000000000000",,0,0,",000000",",000000","530793,000000","26421389,000000"
2012.0,BA,Não-Metálicos,Grafita,t,"197110,000000","17739,900000000000000",,0,0,",000000",",000000",",000000",",000000"
2012.0,BA,Não-Metálicos,Vermiculita e Perlita,t,"1180,000000","566,000000000000000",,0,0,",000000",",000000",",000000",",000000"
2012.0,BA,Não-Metálicos,Gipsita,-,",000000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2012.0,BA,Não-Metálicos,Bário,t,"1846,310000","1612,850000000000000",BaSO4,"12774,99","3346443,4100000001",",000000",",000000","148,310000","19477,200000"
2012.0,BA,Não-Metálicos,Argilas,-,"1178762,430000",",000000000000000",,"397998,64000000001","2529482,3799999999","82796,140000","364247,100000","568346,860000","1974680,440000"
2012.0,BA,Metálicos,Ferro,t,"423416,130000","253712,210000000000000",Fe,"187573,62","30834998,629999999",",000000",",000000",",000000",",000000"
2012.0,BA,Metálicos,Cobre,t,"2723200,170000","29117,280000000000000",Cu,"95,170000000000002","127531,75999999999",",000000",",000000",",000000",",000000"
2012.0,BA,Não-Metálicos,Saibro,-,"92014,000000",",000000000000000",,92014,297697,",000000",",000000",",000000",",000000"
2012.0,BA,Não-Metálicos,Diatomita,-,"3109,510000",",000000000000000",,"1596,97","496492,5",",000000",",000000",",000000",",000000"
2012.0,BA,Metálicos,Manganês,t,"24594,660000","6651,990000000000000",Mn,"10061,200000000001",1311556,",000000",",000000",",000000",",000000"
2012.0,BA,Não-Metálicos,"Geodos, Ágatas, Calcedônia, etc",t,"800,000000","800,000000000000000",,"792,70000000000005",1045149,",000000",",000000",",000000",",000000"
2012.0,BA,Metálicos,Chumbo,t,",000000",",000000000000000",Pb,0,0,",000000",",000000",",000000",",000000"
2012.0,BA,Não-Metálicos,Calcário,-,"2106810,800000",",000000000000000",,"42875,25","516211,48000000004",",000000",",000000","1378540,700000",",120000"
2012.0,BA,Metálicos,Cromo,t,"1393535,640000","221195,150000000000000",Cr2O3,0,0,",000000",",000000",",000000",",000000"
2012.0,BA,Não-Metálicos,Areias Industriais,-,"56106,510000",",000000000000000",,"54295,510000000002","4773998,1399999997",",000000",",000000","1385,000000","551900,000000"
2012.0,BA,Não-Metálicos,Talco e outras Cargas Minerais,-,"186499,760000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2012.0,BA,Não-Metálicos,Rochas Ornamentais,-,"178142,690000",",000000000000000",,"166090,22000000035","50260951,270000003",",000000",",000000","6954,200000","1362912,440000"
2012.0,BA,Gemas e Diamantes,Gemas,kg,"17734,360000","4336,360000000000000",,0,0,",000000",",000000",",000000",",000000"
2012.0,BA,Metálicos,Ouro,kg,"1018911,000000","1958,961420000000000",Au,0,0,",000000",",000000",",000000",",000000"
2012.0,BA,Não-Metálicos,Caulim,-,"32138,000000",",000000000000000",,14978,132224,",000000",",000000",",000000",",000000"
2012.0,BA,Metálicos,Níquel,t,"6789783,000000","34185,000000000000000",Ni,0,0,",000000",",000000",",000000",",000000"
2012.0,BA,Não-Metálicos,Rochas (Britadas) e Cascalho,-,"7220167,590000",",000000000000000",,131961,2055189,",000000",",000000",",000000",",000000"
2012.0,BA,Gemas e Diamantes,Diamante,ct,"5085,280000","864,210000000000000",,0,0,",000000",",000000",",000000",",000000"
2012.0,CE,Não-Metálicos,Areia,-,"1709181,700000",",000000000000000",,"1631975,7999999998","15091575,220000001","27000,000000","108000,000000","45527,900000","92450,300000"
2012.0,CE,Não-Metálicos,Calcário,-,"3215932,240000",",000000000000000",,"732170,73999999999","7033974,5200000014","481424,670000","5165907,060000","24510,370000","424318,050000"
2012.0,CE,Não-Metálicos,Rochas Ornamentais,-,"67936,980000",",000000000000000",,"58914,390000000043","21977131,670000002",",000000",",000000","1813,800000","279325,200000"
2012.0,CE,Não-Metálicos,Argilas,-,"2238470,000000",",000000000000000",,"251978,76000000001","4207904,7000000002","563260,780000","2510449,870000","1421798,940000","6501484,490000"
2012.0,CE,Não-Metálicos,Rochas Ornamentais - Outras,-,"73725,230000",",000000000000000",,"72424,589999999997","6715223,8399999999",",000000",",000000",",000000",",000000"
2012.0,CE,Não-Metálicos,Gipsita,-,"74280,060000",",000000000000000",,"74280,059999999998","2279465,4100000001",",000000",",000000",",000000",",000000"
2012.0,CE,Não-Metálicos,Rochas (Britadas) e Cascalho,-,"4404846,700000",",000000000000000",,864,24192,",000000",",000000",",000000",",000000"
2012.0,CE,Não-Metálicos,Dolomito e Magnesita,-,"107843,470000",",000000000000000",,"102843,47","2262556,2000000002",",000000",",000000",",000000",",000000"
2012.0,CE,Metálicos,Ferro,t,"302493,720000","182932,190000000000000",Fe,"170100,82999999999","19564998,91",",000000",",000000","2313,720000","125721,120000"
2012.0,CE,Não-Metálicos,Saibro,-,"129180,000000",",000000000000000",,16940,"24662,5","77500,000000","329250,000000","34740,000000","69510,000000"
2012.0,CE,Metálicos,Cobre,t,",000000",",000000000000000",Cu,0,0,",000000",",000000",",000000",",000000"
2012.0,CE,Não-Metálicos,Fosfato,t,",000000",",000000000000000",P2O5,0,0,",000000",",000000",",000000",",000000"
2012.0,CE,Energéticos,Urânio e outros Radioativos,t,",000000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2012.0,CE,Não-Metálicos,Areias Industriais,-,"161183,780000",",000000000000000",,0,0,",000000",",000000","4063,900000","533195,920000"
2012.0,CE,Metálicos,Manganês,t,",000000",",000000000000000",Mn,0,0,",000000",",000000",",000000",",000000"
2012.0,DF,Não-Metálicos,Areia,-,"448215,510000",",000000000000000",,"398564,98999999999","8703754,5599999987",",000000",",000000",",000000",",000000"
2012.0,DF,Não-Metálicos,Argilas,-,"301712,030000",",000000000000000",,0,0,",000000",",000000","151657,030000","3076966,330000"
2012.0,DF,Não-Metálicos,Rochas (Britadas) e Cascalho,-,"392104,370000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2012.0,DF,Não-Metálicos,Areias Industriais,-,",000000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2012.0,DF,Não-Metálicos,Calcário,-,"8958408,750000",",000000000000000",,0,0,",000000",",000000","2531006,290000","33636249,720000"
2012.0,ES,Não-Metálicos,Areia,-,"2204143,050000","80,000000000000000",,"2183570,29","22357557,180000003",",000000",",000000",",000000",",000000"
2012.0,ES,Metálicos,Alumínio (Bauxita),t,",000000",",000000000000000",Al2O3,0,0,",000000",",000000",",000000",",000000"
2012.0,ES,Não-Metálicos,Dolomito e Magnesita,-,"587147,950000",",000000000000000",,"520973,01000000001","5002425,1399999997",",000000",",000000","66113,440000","707352,000000"
2012.0,ES,Não-Metálicos,Argilas,-,"458975,280000",",000000000000000",,"274285,23000000004","3914002,5300000007",",000000",",000000","165015,540000","1857647,240000"
2012.0,ES,Não-Metálicos,Rochas Ornamentais,-,"2203101,652500",",000000000000000",,"1852089,5625","313749175,99100012","1235,080000","190343,700000","134777,970000","17439857,930000"
2012.0,ES,Não-Metálicos,Rochas (Britadas) e Cascalho,-,"7744387,130000",",000000000000000",,"891,79999999999995",2744,",000000",",000000",",000000",",000000"
2012.0,ES,Não-Metálicos,Calcário,-,"2414303,727500",",000000000000000",,"1962865,4775000005","41569098,379000001",",000000",",000000","169066,450000","2410922,340000"
2012.0,ES,Não-Metálicos,Saibro,-,"704955,450000",",000000000000000",,"704955,44999999995","772911,31999999995",",000000",",000000",",000000",",000000"
2012.0,ES,Gemas e Diamantes,Gemas,kg,"34,670000",",000980000000000",,"34,670000000000002","97328,459999999992",",000000",",000000",",000000",",000000"
2012.0,GO,Não-Metálicos,Argilas,-,"931705,650000",",000000000000000",,"315640,60999999999","1815488,8200000001","50,000000","5000,000000","616211,040000","6241793,050000"
2012.0,GO,Metálicos,Ferro,t,",000000",",000000000000000",Fe,0,0,",000000",",000000",",000000",",000000"
2012.0,GO,Não-Metálicos,Vermiculita e Perlita,t,"60124,840000","15167,240000000000000",,"57990,739999999998","31321209,030000001","2134,100000","259784,000000",",000000",",000000"
2012.0,GO,Gemas e Diamantes,Gemas,kg,"20,000000",",600000000000000",,0,0,",000000",",000000",",000000",",000000"
2012.0,GO,Não-Metálicos,Rochas Ornamentais - Outras,-,"10470,460000",",000000000000000",,"10470,459999999999",1208663,",000000",",000000",",000000",",000000"
2012.0,GO,Metálicos,Níquel,t,"5618914,380000","65433,030000000000000",Ni,0,0,",000000",",000000",",000000",",000000"
2012.0,GO,Não-Metálicos,Caulim,-,"8136,520000",",000000000000000",,2016,"204940,63",",000000",",000000","6120,520000","5569,670000"
2012.0,GO,Não-Metálicos,Calcário,-,"7091875,341750",",000000000000000",,"178945,60000000001","1486048,0900000001",",000000",",000000",",000000",",000000"
2012.0,GO,Metálicos,Ouro,kg,"23766247,130000","8460,190570000000000",Au,0,0,",000000",",000000",",000000",",000000"
2012.0,GO,Não-Metálicos,Dolomito e Magnesita,-,"430837,940000",",000000000000000",,"96954,800000000003","3359836,7999999998",",000000",",000000",",000000",",000000"
2012.0,GO,Metálicos,Manganês,t,"1162,240000","419,020000000000000",Mn,0,0,",000000",",000000",",000000",",000000"
2012.0,GO,Não-Metálicos,Amianto,t,"5272423,190000","347207,550000000000000",,0,0,",000000",",000000",",000000",",000000"
2012.0,GO,Metálicos,Titânio,t,"18925,980000","3208,310000000000000",TiO2,0,0,",000000",",000000",",000000",",000000"
2012.0,GO,Não-Metálicos,Talco e outras Cargas Minerais,-,"40037,520000",",000000000000000",,"36037,520000000004","628866,90000000002",",000000",",000000","4000,000000","36000,000000"
2012.0,GO,Não-Metálicos,Rochas Ornamentais,-,"30194,510000",",000000000000000",,"27111,350000000002","2938154,2400000002",",000000",",000000","3965,210000","873942,860000"
2012.0,GO,Metálicos,Cobalto,t,"3774557,560000","2824,280000000000000",Co,0,0,",000000",",000000",",000000",",000000"
2012.0,GO,Metálicos,Prata,kg,"23564796,130000","4050,350240000000000",Ag,0,0,",000000",",000000",",000000",",000000"
2012.0,GO,Não-Metálicos,Fosfato,t,"10956886,600000","1397940,280000000000000",P2O5,0,0,",000000",",000000",",000000",",000000"
2012.0,GO,Não-Metálicos,Areia,-,"1996282,260000",",000000000000000",,"1391193,46","26764153,490000002",",000000",",000000","12,000000","30,000000"
2012.0,GO,Não-Metálicos,Bário,t,",000000",",000000000000000",BaSO4,0,0,",000000",",000000",",000000",",000000"
2012.0,GO,Não-Metálicos,Areias Industriais,-,"86284,460000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2012.0,GO,Gemas e Diamantes,Diamante,ct,"100000,000000","17,200000000000000",,100000,25465,",000000",",000000",",000000",",000000"
2012.0,GO,Metálicos,Nióbio,t,"4270265,840000","28792,214000000000000",Nb2O5,0,0,",000000",",000000",",000000",",000000"
2012.0,GO,Não-Metálicos,Saibro,-,"1830,000000",",000000000000000",,1830,16700,",000000",",000000",",000000",",000000"
2012.0,GO,Metálicos,Cobre,t,"26264823,690000","92793,190000000000000",Cu,0,0,",000000",",000000",",000000",",000000"
2012.0,GO,Não-Metálicos,Rochas (Britadas) e Cascalho,-,"10226168,278250",",000000000000000",,"149562,85999999999","996095,21999999997","580709,000000","1167602,000000","99550,260000","728688,730000"
2012.0,GO,Metálicos,Alumínio (Bauxita),t,"46500,000000","25773,000000000000000",Al2O3,20000,231000,",000000",",000000","25892,170000","1470954,240000"
2012.0,MA,Não-Metálicos,Gipsita,-,"256024,980000",",000000000000000",,"256024,97999999998","6104082,1500000004",",000000",",000000",",000000",",000000"
2012.0,MA,Não-Metálicos,Calcário,-,"679252,480000",",000000000000000",,"156943,73000000001","6665394,5800000001",",000000",",000000",",000000",",000000"
2012.0,MA,Não-Metálicos,Caulim,-,"125101,480000",",000000000000000",,"125101,48","3213199,25",",000000",",000000",",000000",",000000"
2012.0,MA,Não-Metálicos,Saibro,-,"35580,500000",",000000000000000",,"35580,5",142322,",000000",",000000",",000000",",000000"
2012.0,MA,Metálicos,Ferro,t,"5900,930000","2891,000000000000000",Fe,"5900,9300000000003","218334,41",",000000",",000000",",000000",",000000"
2012.0,MA,Não-Metálicos,Rochas (Britadas) e Cascalho,-,"3478892,250000",",000000000000000",,"234352,87","1180937,3899999999",",000000",",000000",",000000",",000000"
2012.0,MA,Metálicos,Ouro,kg,"1714257,320000","2201,190800000000000",Au,0,0,",000000",",000000",",000000",",000000"
2012.0,MA,Não-Metálicos,Argilas,-,"830756,340000",",000000000000000",,"93816,75","274693,20999999996","419004,110000","2354856,440000","293415,590000","1499880,930000"
2012.0,MA,Não-Metálicos,Areia,-,"1422603,610000",",000000000000000",,"1374018,25","15913636,920000002",",000000",",000000",",000000",",000000"
2012.0,MG,Não-Metálicos,Grafita,t,"1235940,330000","90368,090000000000000",,"11915,440000000001","994086,06999999995",",000000",",000000",",000000",",000000"
2012.0,MG,Metálicos,Chumbo,t,"2387377,970000","25161,610000000000000",Pb,0,0,",000000",",000000",",000000",",000000"
2012.0,MG,Não-Metálicos,Calcário,-,"48138470,327500",",000000000000000",,"4563283,04","39648166,109999999",",000000",",000000","187014,591000","1134486,771000"
2012.0,MG,Metálicos,Estanho,kg,"764796,730000","315332,800000000000000",Sn,0,0,",000000",",000000",",000000",",000000"
2012.0,MG,Metálicos,Cobalto,t,"241412,940000","12,000000000000000",Co,0,0,",000000",",000000",",000000",",000000"
2012.0,MG,Não-Metálicos,Rochas Ornamentais,-,"799195,720000",",000000000000000",,"658919,76000000001","161943873,68000004",",000000",",000000","108517,900000","15683585,510000"
2012.0,MG,Não-Metálicos,Saibro,-,"86258,730000",",000000000000000",,"70000,729999999996","361390,79000000004",",000000",",000000","16258,000000","101670,000000"
2012.0,MG,Não-Metálicos,"Feldspato, Leucita e Nefelina-Sienito",-,"14587,120000",",000000000000000",,"12671,73","3525566,0900000003",",000000",",000000",",000000",",000000"
2012.0,MG,Metálicos,Prata,kg,"54046680,000000","8767,409660000000000",Ag,0,0,",000000",",000000",",000000",",000000"
2012.0,MG,Metálicos,Ouro,kg,"56573880,340000","33854,304210000000000",Au,0,0,",000000",",000000",",000000",",000000"
2012.0,MG,Metálicos,Cobre,t,"241412,940000","531,000000000000000",Cu,0,0,",000000",",000000",",000000",",000000"
2012.0,MG,Metálicos,Tântalo,t,"678868,090000","454,841640000000000",Ta2O5,0,0,",000000",",000000",",000000",",000000"
2012.0,MG,Não-Metálicos,Mica,-,"2,000000",",000000000000000",,2,200,",000000",",000000",",000000",",000000"
2012.0,MG,Não-Metálicos,Rochas Ornamentais - Outras,-,"15353,010000",",000000000000000",,"472326,62","3178057,29","1288,000000","460000,000000",",000000",",000000"
2012.0,MG,Metálicos,Cádmio,t,",000000",",000000000000000",Cd,0,0,",000000",",000000",",000000",",000000"
2012.0,MG,Não-Metálicos,Caulim,-,"54135,880000",",000000000000000",,"54004,879999999997","2779857,2599999998",",000000",",000000",",000000",",000000"
2012.0,MG,Não-Metálicos,Areia,-,"6023266,570000",",000000000000000",,"5066373,1999999993","97078801,970000044","15,000000","3000,000000","3485,000000","33842,000000"
2012.0,MG,Não-Metálicos,Potássio,t,"200,000000","25,000000000000000",K2O,0,0,",000000",",000000",",000000",",000000"
2012.0,MG,Não-Metálicos,"Geodos, Ágatas, Calcedônia, etc",t,"8,500000",",000700000000000",,0,0,",000000",",000000",",000000",",000000"
2012.0,MG,Metálicos,Níquel,t,"291388,940000","13496,920000000000000",Ni,"49833,610000000001","4313790,8200000003",",000000",",000000",",000000",",000000"
2012.0,MG,Metálicos,Cromo,t,"35,000000","7,000000000000000",Cr2O3,0,0,",000000",",000000",",000000",",000000"
2012.0,MG,Não-Metálicos,Cianita e outros minerais refratários,-,"324,000000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2012.0,MG,Metálicos,Zinco,t,"2391377,970000","236422,970000000000000",Zn,0,0,",000000",",000000",",000000",",000000"
2012.0,MG,Metálicos,Manganês,t,"774973,280000","167318,210000000000000",Mn,"111685,94",5268595,",000000",",000000","41951,480000","3247807,760000"
2012.0,MG,Gemas e Diamantes,Diamante,ct,"267922,940000","2540,190000000000000",,23,1610,",000000",",000000",",000000",",000000"
2012.0,MG,Não-Metálicos,Argilas,-,"3125715,980000",",000000000000000",,"862191,48999999999","13903501,640000004","142962,600000","891057,430000","1098140,350000","9115411,390000"
2012.0,MG,Metálicos,Titânio,t,"6441793,000000","966655,460000000000000",TiO2,0,0,",000000",",000000",",000000",",000000"
2012.0,MG,Não-Metálicos,Bário,t,"4426917,000000","839854,550000000000000",BaSO4,0,0,",000000",",000000",",000000",",000000"
2012.0,MG,Não-Metálicos,Fosfato,t,"27036855,300000","2453904,770000000000000",P2O5,0,0,",000000",",000000",",000000",",000000"
2012.0,MG,Não-Metálicos,Dolomito e Magnesita,-,"19,000000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2012.0,MG,Metálicos,Nióbio,t,"4426917,000000","97384,429500000000000",Nb2O5,0,0,",000000",",000000",",000000",",000000"
2012.0,MG,Metálicos,Lítio,t,"37931,670000","591,560000000000000",Li2O,"579,66999999999996","300907,64000000001",",000000",",000000",",000000",",000000"
2012.0,MG,Não-Metálicos,Enxofre,t,"241412,940000","13277,000000000000000",S,0,0,",000000",",000000",",000000",",000000"
2012.0,MG,Metálicos,Berílio,t,",000000",",000000000000000",BeO,0,0,",000000",",000000",",000000",",000000"
2012.0,MG,Não-Metálicos,Areias Industriais,-,"1181317,090000",",000000000000000",,"180198,06000000003","14315768,719999999",",100000","139087,820000","4000,000000","244000,000000"
2012.0,MG,Metálicos,Zircônio,t,",000000",",000000000000000",ZrSiO4,0,0,",000000",",000000",",000000",",000000"
2012.0,MG,Metálicos,Ferro,t,"383312781,110000","207631703,330000000000000",Fe,"29787845,449999996","949037106,48000014","295962,070000","44823211,830000",",000000",",000000"
2012.0,MG,Não-Metálicos,Talco e outras Cargas Minerais,-,"726252,270000",",000000000000000",,"111076,41","3566628,23",",000000",",000000","17076,720000","503720,000000"
2012.0,MG,Gemas e Diamantes,Gemas,kg,"134543,920000","5007,557010000000000",,0,0,",000000",",000000",",000000",",000000"
2012.0,MG,Não-Metálicos,Rochas (Britadas) e Cascalho,-,"19466396,522500",",000000000000000",,"434551,64000000001","3689423,9199999999","47863,930000","220699,590000","91536,279000","1460984,589000"
2012.0,MG,Metálicos,Alumínio (Bauxita),t,"6848182,970000","2609246,890000000000000",Al2O3,"1761215,1799999997","35709305,149999999",",000000",",000000","13870,000000","346750,000000"
2012.0,MS,Gemas e Diamantes,Diamante,ct,",000000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2012.0,MS,Não-Metálicos,Dolomito e Magnesita,-,"1093036,000000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2012.0,MS,Não-Metálicos,Talco e outras Cargas Minerais,-,"312573,940000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2012.0,MS,Metálicos,Manganês,t,"394032,000000","178903,660000000000000",Mn,0,0,",000000",",000000",",000000",",000000"
2012.0,MS,Não-Metálicos,Rochas (Britadas) e Cascalho,-,"3423285,090000",",000000000000000",,"251115,78999999998","4428210,5999999996","3000,000000","15120,000000","45180,170000","135982,980000"
2012.0,MS,Não-Metálicos,Saibro,-,"130528,050000",",000000000000000",,"130527,15000000001","897495,08000000007",",000000",",000000",",000000",",000000"
2012.0,MS,Metálicos,Ferro,t,"12089318,000000","7589811,980000000000000",Fe,0,0,",000000",",000000",",000000",",000000"
2012.0,MS,Não-Metálicos,Areias Industriais,-,",000000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
2012.0,MS,Não-Metálicos,Rochas Ornamentais,-,",000000",",000000000000000",,0,0,",000000",",000000",",000000",",000000"
