Ano base,UF,Classe Substância,Substância Mineral,Unidade de Medida - Produção,Unidade de Medida - Contido,Indicação Contido,Unidade de Medida - Venda,Unidade de Medida - Consumo/Utilização na Usina,Unidade de Medida - Transferência para Transformação / Utilização / Consumo,Quantidade Produção,Quantidade Contido,Quantidade Venda,Valor Venda (R$),Quantidade Consumo/Utilização na Usina,Valor Consumo / Utilização na Usina (R$),Quantidade Transferência para Transformação / Utilização / Consumo,Valor Transferência para Transformação / Utilização / Consumo (R$)
2010.0,ES,Não-Metálicos,Calcário,t,-,,t,t,t,"353052,17000000004",",000000000000000","353549,97000000003","21307503,109999999",0,0,0,0
2010.0,ES,Não-Metálicos,Rochas (Britadas) e Cascalho,t,-,,t,t,t,"5066573,7599999998",",000000000000000","5258457,1399999997","89452632,090000018",0,0,0,0
2010.0,ES,Não-Metálicos,Rochas Ornamentais,t,-,,t,t,t,"124630,3",",000000000000000","122201,59999999999","77800220,61999999",0,0,"1850,74","1615032,27"
2010.0,GO,Gemas e Diamantes,Diamante,ct,ct,,ct,ct,ct,"82,799999999999997","82,800000000000000","15,98","5549,8000000000002",0,0,0,0
2010.0,GO,Metálicos,Cobalto,t,t,Co,t,t,t,"3203447,4399999999","2881,520000000000000",0,0,0,0,"3203447,4399999999","0,12"
2010.0,GO,Metálicos,Cobre,t,t,Cu,t,t,t,"271475,39000000001","69662,360000000000000","272014,48000000004","1241022095,7",0,0,0,"0,12"
2010.0,GO,Metálicos,Manganês,t,t,Mn,t,t,t,"12065,200000000001","5638,360000000000000","12065,200000000001","6661975,9799999995",0,0,0,0
2010.0,GO,Metálicos,Nióbio,t,t,Nb2O5,t,t,t,"17941,231350000002","8547,567880000000000","214,19148000000001","788789,06000000006",0,0,"12488,12587","268935037,51999998"
2010.0,GO,Metálicos,Níquel,t,t,Ni,t,t,t,"3267268,6400000001","40319,640000000000000","64446,790000000001","437048115,24000001",0,0,"3203447,4399999999",120050927
2010.0,GO,Metálicos,Ouro,kg,kg,Au,kg,kg,kg,"4794,6700000000001","3252,672170000000000","4942,1840300000003","341944169,25999999",0,0,0,0
2010.0,GO,Metálicos,Prata,kg,kg,Ag,kg,kg,kg,60,"60,000000000000000",60,140000,0,0,0,0
2010.0,GO,Metálicos,Titânio,t,t,TiO2,t,t,t,"36829,889999999999","7000,000000000000000","30970,790000000001","6279262,8899999997",0,0,0,0
2010.0,GO,Não-Metálicos,Amianto,t,t,,t,t,t,302257,"302257,000000000000000","306350,20000000001","413847085,19",0,0,0,0
2010.0,GO,Não-Metálicos,Areia,t,-,,t,t,t,"408910,79999999999",",000000000000000","408632,95999999996","6724360,6199999992",0,0,0,0
2010.0,GO,Não-Metálicos,Areias Industriais,t,-,,t,t,t,15750,",000000000000000",15750,147400,0,0,0,0
2010.0,GO,Não-Metálicos,Argilas,t,-,,t,t,t,3235,",000000000000000",218,"2926,3000000000002",0,0,1000,444145
2010.0,GO,Não-Metálicos,Bário,t,t,BaSO4,t,t,t,23390,"13174,000000000000000","23261,799999999999","2578934,1000000001",0,0,0,0
2010.0,GO,Não-Metálicos,Calcário,t,-,,t,t,t,"4886420,9299999988",",000000000000000","3701998,0999999992","106311293,24999999",0,0,"1442671,49","8076324,8799999999"
2010.0,GO,Não-Metálicos,Dolomito e Magnesita,t,-,,t,t,t,"439700,59999999998",",000000000000000","434853,70000000001","11807603,800000001",0,0,0,0
2010.0,GO,Não-Metálicos,Fosfato,t,t,P2O5,t,t,t,"2643426,8799999999","949307,230000000000000","281172,83000000002","107866356,50999999",45414,"4241803,3399999999","1851023,1299999999","197375241,61000001"
2010.0,GO,Não-Metálicos,Rochas (Britadas) e Cascalho,t,-,,t,t,t,"5970704,8799999999",",000000000000000","5354502,3500000015","137344071,92000002",1941,17469,"276769,42999999999","4296752,4900000002"
2010.0,GO,Não-Metálicos,Rochas Ornamentais,t,-,,t,t,t,6980,",000000000000000",6980,35196,0,0,0,0
2010.0,GO,Não-Metálicos,Vermiculita e Perlita,t,t,,t,t,t,44413,"25000,000000000000000","36495,639999999999","3347473,04",0,0,"5183,6499999999996","434969,20000000001"
2010.0,MA,Metálicos,Ouro,kg,kg,Au,kg,kg,kg,"506,72579999999999","471,254990000000000","432,95690000000002","31961892,280000001",0,0,0,0
2010.0,MA,Não-Metálicos,Areia,t,-,,t,t,t,3361,",000000000000000",3361,16355,0,0,0,0
2010.0,MA,Não-Metálicos,Argilas,t,-,,t,t,t,"153809,10000000003",",000000000000000","35546,869999999995","3347112,5600000001","118177,28000000001","875876,01000000001",0,0
2010.0,MA,Não-Metálicos,Calcário,t,-,,t,t,t,273029,",000000000000000",273029,"6970223,5499999998",0,0,0,0
2010.0,MA,Não-Metálicos,Rochas (Britadas) e Cascalho,t,-,,t,t,t,"1640172,9900000002",",000000000000000","1647501,3999999999","44190175,549999997",0,0,0,0
2010.0,MG,Gemas e Diamantes,Diamante,ct,ct,,ct,ct,ct,"10659,109999999999","10659,110000000000000","7620,4700000000003","3653583,7199999997",0,0,0,0
2010.0,MG,Gemas e Diamantes,Gemas,kg,kg,,kg,kg,kg,"486,99372000000005","486,993720000000000","361,46735999999999","8760285,4600000028","19,040749999999999","118049,7",0,0
2010.0,MG,Metálicos,Alumínio (Bauxita),t,t,Al2O3,t,t,t,"2968433,5800000001","1286851,460000000000000","6295,6599999999999","2022147,8500000001",0,0,"2964851,3399999999","134315799,75"
2010.0,MG,Metálicos,Chumbo,t,t,Pb,t,t,t,"19650,360000000001","12832,380000000000000","19739,98","27013105,600000001",0,0,0,0
2010.0,MG,Metálicos,Estanho,kg,kg,Sn,kg,kg,kg,451039,"316957,000000000000000",417759,"4447408,0199999996",0,0,0,0
2010.0,MG,Metálicos,Ferro,t,t,Fe,t,t,t,"262341144,82999992","165409770,330000000000000","181276735,17000008","26535255660,030003",4846896,"127418118,17999999","72347311,389999986","4143302072,3400006"
2010.0,MG,Metálicos,Lítio,t,t,Li2O,t,t,t,7262,"363,100000000000000","49,130000000000003",43717,0,0,"6630,1999999999998","5263443,6500000004"
2010.0,MG,Metálicos,Manganês,t,t,Mn,t,t,t,"694985,56000000006","136868,800000000000000","593494,78000000003","55908647,510000005",2450,192500,"141404,07000000001","14489526,579999998"
2010.0,MG,Metálicos,Nióbio,t,t,Nb2O5,t,t,t,139125,"74974,000000000000000",0,0,0,0,139125,133949200
2010.0,MG,Metálicos,Níquel,t,t,Ni,t,t,t,79479,"13210,830000000000000","29250,68","443950574,88999999",50367,"9474091,2699999996",0,0
2010.0,MG,Metálicos,Ouro,kg,kg,Au,kg,kg,kg,"30767,103999999999","30767,102000000000000","30510,738999999994","2109878624,0699997",0,0,0,0
2010.0,MG,Metálicos,Prata,kg,kg,Ag,kg,kg,kg,"6113,9619999999995","6113,962000000000000","6164,0290000000005","7235487,2999999998",0,0,0,0
2010.0,MG,Metálicos,Tântalo,t,t,Ta2O5,t,t,t,"773,85000000000002","150,000000000000000","747,70000000000005","15970972,789999999",0,0,0,0
2010.0,MG,Metálicos,Zinco,t,t,Zn,t,t,t,"495584,39000000001","211202,710000000000000","86958,380000000005","72340491,299999997",0,0,397419,"52471230,469999999"
2010.0,MG,Não-Metálicos,Areia,t,-,,t,t,t,"535507,77000000002",",000000000000000","531586,41999999993","9117174,5799999982",0,0,0,0
2010.0,MG,Não-Metálicos,Areias Industriais,t,-,,t,t,t,"768505,18000000005",",000000000000000","369826,21000000002","18595888,020000003","41358,07","144753,22","349238,08000000002","5546405,379999999"
2010.0,MG,Não-Metálicos,Argilas,t,-,,t,t,t,"1659124,5200000003",",000000000000000","713312,43999999994","6744286,0999999996","253309,26000000001","620607,68999999994","689401,18000000005","19708066,740000002"
2010.0,MG,Não-Metálicos,Calcário,t,-,,t,t,t,"40194897,350000001",",000000000000000","20538014,080000002","371536775,85999995","3190416,0600000001","11203431,359999999","16692270,229999997","172869451,25999999"
2010.0,MG,Não-Metálicos,Caulim,t,-,,t,t,t,523,",000000000000000",523,5225,0,0,0,0
2010.0,MG,Não-Metálicos,Cianita e outros minerais refratários,t,-,,t,t,t,0,",000000000000000",0,0,0,0,291,"120485,83"
2010.0,MG,Não-Metálicos,Enxofre,t,t,S,t,t,t,"291351,45999999996","69739,830000000000000","298245,83999999997","70648002,879999995",0,0,0,0
2010.0,MG,Não-Metálicos,"Feldspato, Leucita e Nefelina-Sienito",t,-,,t,t,t,"146122,16",",000000000000000","136867,32000000001","16397493,530000001",0,0,0,0
2010.0,MG,Não-Metálicos,Fosfato,t,t,P2O5,t,t,t,"3482345,6899999999","1217440,980000000000000","46607,389999999999","3246635,8700000001","895430,35000000009","151264718,99000001","3191027,52","355269341,95999998"
2010.0,MG,Não-Metálicos,Grafita,t,t,,t,t,t,"72497,809999999998","58042,750000000000000","71383,279999999999","114481531,09",0,0,0,0
2010.0,MG,Não-Metálicos,Rochas (Britadas) e Cascalho,t,-,,t,t,t,"14692555,975",",000000000000000","13795397,429999994","341443374,60499984",86218,1033645,"63113,689999999995","644635,12"
2010.0,MG,Não-Metálicos,Rochas Ornamentais,t,-,,t,t,t,3995,",000000000000000",3697,"1323103,5800000001",0,0,0,0
2010.0,MG,Não-Metálicos,Talco e outras Cargas Minerais,t,-,,t,t,t,"640106,06999999995",",000000000000000","535721,91999999993","26248540,340000004",0,0,0,0
2010.0,MS,Gemas e Diamantes,Diamante,ct,ct,,ct,ct,ct,0,",000000000000000",0,0,0,0,0,0
2010.0,MS,Metálicos,Ferro,t,t,Fe,t,t,t,6575434,"4175411,760000000000000","4715988,7999999998","629603935,44000006",0,0,0,0
2010.0,MS,Metálicos,Manganês,t,t,Mn,t,t,t,203784,"89144,010000000000000",299089,"111433681,97",0,0,0,0
2010.0,MS,Não-Metálicos,Areia,t,-,,t,t,t,"535770,89000000001",",000000000000000","528478,53000000003","6522952,1800000006",0,0,0,0
2010.0,MS,Não-Metálicos,Argilas,t,-,,t,t,t,"440266,71999999997",",000000000000000","61583,220000000001","2827495,5899999999","295158,28000000003","3035829,4100000001","78728,399999999994",12
2010.0,MS,Não-Metálicos,Calcário,t,-,,t,t,t,"2061871,2799999998",",000000000000000","1000367,77","20626708,620000001",0,0,"1026356,9199999999","8422109,0899999999"
2010.0,MS,Não-Metálicos,Dolomito e Magnesita,t,-,,t,t,t,"765862,88",",000000000000000","779774,50999999989","20597400,030000001",0,0,0,0
2010.0,MS,Não-Metálicos,Rochas (Britadas) e Cascalho,t,-,,t,t,t,"4186043,8100000005",",000000000000000","4103827,2200000002","69090449,189999998",0,0,"219331,22","1756396,77"
2010.0,MS,Não-Metálicos,Talco e outras Cargas Minerais,t,-,,t,t,t,"222070,67999999999",",000000000000000",0,0,0,0,"222070,67999999999","1423682,8999999999"
2010.0,MT,Gemas e Diamantes,Diamante,ct,ct,,ct,ct,ct,"8405,8299999999999","8352,450000000000000","16843,34","1446801,75",0,0,0,0
2010.0,MT,Metálicos,Estanho,kg,kg,Sn,kg,kg,kg,208248,"145774,000000000000000",208248,"3115467,7999999998",0,0,0,0
2010.0,MT,Metálicos,Ferro,t,-,Fe,t,t,t,"36150,919999999998",",000000000000000",0,0,0,0,"36150,919999999998","416050,02000000002"
